Company / Role,Salary Information (CAD unless otherwise specified),Benefits,Year,Position
ALPHABYTE,37/hr USD,,,
ALPHABYTE,52.32/hr USD,,,
ALPHABYTE (BRITISH COLUMBIA OFFICE),mid 30s/hr (5th coop),,,
ALPHABYTE (BRITISH COLUMBIA OFFICE),51/hr (4th coop),,,
ALPHABYTE (DEVELOPER),33/hr USD,$60 per diem,,
ALPHABYTE (INTERN),22-27/hr,,,
ALPHABYTE (MANAGER),"29/hr, ~23/hr (4th coop), ~30/hr (6th coop)",,"2021, 2023",Hardware
ALPHABYTE (ONTARIO),46.37/hr,,,
AlphaByte,22.63 USD/hr,4% vacation pay,,SWE
AlphaByte,1254/week (2nd coop),,,
AlphaByte,29-50/hr (2nd coop),4% vacation pay,,
AlphaByte (AB),55-56/hr (5th coop),,,
AlphaByte (BC Office),58/hr USD (3rd coop),,2021,
AlphaByte (BC),math coop average + 10%,,,
AlphaByte (British Columbia),"(30/hr + 1500-2000 stipend/month), (35/hr + 1450 stipend for 3A term), (45/h + housing or 1.5k stipend. 4A)",,2021,
AlphaByte (DEV),38-45/hr,,,
AlphaByte (ON),high 20s to mid 30s/hr,,,
AlphaByte (Ontario),47-48/hr (5th coop),$20/day lunch,2025,ML Engineer
AlphaByte (QA),49/hr,,,
AlphaByte (QC),37/hr,,,
AlphaByte (intern),53/hr (3rd coop),,,
AlphaByte (intern),26 USD/hr,,,
AlphaByte (manager),29-43/hr,,,
AlphaByte intern,22.24/hr,,,
CITA (CANADIAN INFORMATION TECHNOLOGY AGENCY),39/hr USD (3rd coop),,,
CITA (CANADIAN INFORMATION TECHNOLOGY AGENCY),40+/hr,,2021,
CITA (CANADIAN INFORMATION TECHNOLOGY AGENCY),25-36/hr,,,
CITA (CANADIAN INFORMATION TECHNOLOGY AGENCY),19/hr USD,,,
CITA (Canadian Information Technology Agency),59/hr,,,
CITA (Canadian Information Technology Agency),45.18/hr (5th coop),,,Engineering
CITA (Canadian Information Technology Agency),52.23/hr USD (6th coop),,,
CITA (Canadian Information Technology Agency),46.61 USD/hr,,,
CITA (Canadian Information Technology Agency),57/hr USD (2nd coop),,2022,
CITA (Canadian Information Technology Agency),mid 40s/hr (6th coop),,,
CITA (Canadian Information Technology Agency),35/hr,,,
CODECRAFTERS (AB OFFICE),59/hr USD (5th coop),2000 housing,,
CODECRAFTERS (BRITISH COLUMBIA),"7,451/month",,2023,
CODECRAFTERS (INTERN),30 USD/hr (6th coop),,,
CODECRAFTERS (MANAGER),48 USD/hr,,2022,SWE
CODECRAFTERS (QC OFFICE),34.25 USD/hr (2nd coop),,,
CODECRAFTERS (QC),35+/hr,,,
